split_layer,drop_rate,accuracy
29,0.45,0.561
29,0.5,0.53
29,0.55,0.474
29,0.6,0.443
29,0.65,0.363
29,0.7,0.319
29,0.75,0.234
29,0.8,0.154
29,0.85,0.083
29,0.9,0.057
29,0.95,0.02
30,0.0,0.703
30,0.05,0.694
30,0.1,0.679
30,0.15,0.677
30,0.2,0.653
30,0.25,0.648
30,0.3,0.624
30,0.35,0.611
30,0.4,0.598
30,0.45,0.579
30,0.5,0.55
30,0.55,0.503
30,0.6,0.46
30,0.65,0.397
30,0.7,0.326
30,0.75,0.272
30,0.8,0.216
30,0.85,0.142
30,0.9,0.081
30,0.95,0.035
31,0.0,0.703
31,0.05,0.694
31,0.1,0.679
31,0.15,0.677
31,0.2,0.653
31,0.25,0.648
31,0.3,0.624
31,0.35,0.611
31,0.4,0.598
31,0.45,0.579
31,0.5,0.55
31,0.55,0.503
31,0.6,0.46
31,0.65,0.397
31,0.7,0.326
31,0.75,0.272
31,0.8,0.216
31,0.85,0.142
31,0.9,0.081
31,0.95,0.035
32,0.0,0.703
32,0.05,0.695
32,0.1,0.686
32,0.15,0.681
32,0.2,0.661
32,0.25,0.647
32,0.3,0.627
32,0.35,0.625
32,0.4,0.6
32,0.45,0.558
32,0.5,0.528
32,0.55,0.495
32,0.6,0.454
32,0.65,0.396
32,0.7,0.342
32,0.75,0.296
32,0.8,0.217
32,0.85,0.125
32,0.9,0.066
32,0.95,0.031
33,0.0,0.703
33,0.05,0.695
33,0.1,0.686
33,0.15,0.681
33,0.2,0.661
33,0.25,0.647
33,0.3,0.627
33,0.35,0.625
33,0.4,0.6
33,0.45,0.558
33,0.5,0.528
33,0.55,0.495
33,0.6,0.454
33,0.65,0.396
33,0.7,0.342
33,0.75,0.296
33,0.8,0.217
33,0.85,0.125
33,0.9,0.066
33,0.95,0.031
34,0.0,0.703
34,0.05,0.702
34,0.1,0.689
34,0.15,0.682
34,0.2,0.669
34,0.25,0.657
34,0.3,0.654
34,0.35,0.635
34,0.4,0.616
34,0.45,0.597
34,0.5,0.569
34,0.55,0.548
34,0.6,0.511
34,0.65,0.453
34,0.7,0.393
34,0.75,0.351
34,0.8,0.265
34,0.85,0.181
34,0.9,0.11
34,0.95,0.032
35,0.0,0.703
35,0.05,0.702
35,0.1,0.689
35,0.15,0.682
35,0.2,0.669
35,0.25,0.657
35,0.3,0.654
35,0.35,0.635
35,0.4,0.616
35,0.45,0.597
35,0.5,0.569
35,0.55,0.548
35,0.6,0.511
35,0.65,0.453
35,0.7,0.393
35,0.75,0.351
35,0.8,0.265
35,0.85,0.181
35,0.9,0.11
35,0.95,0.032
36,0.0,0.703
36,0.05,0.702
36,0.1,0.689
36,0.15,0.682
36,0.2,0.669
36,0.25,0.657
36,0.3,0.654
36,0.35,0.634
36,0.4,0.616
36,0.45,0.597
36,0.5,0.569
36,0.55,0.548
36,0.6,0.511
36,0.65,0.452
36,0.7,0.393
36,0.75,0.351
36,0.8,0.266
36,0.85,0.182
36,0.9,0.109
36,0.95,0.032
