split_layer,drop_rate,sigma,accuracy
3,0.38,0.4214,0.41333333333333333
3,0.57,0.4214,0.12133333333333333
3,0.76,0.4214,0.004666666666666667
3,0.95,0.4214,0.002
3,0.0,0.5429,0.6846666666666668
3,0.19,0.5429,0.5833333333333334
3,0.38,0.5429,0.36866666666666664
3,0.57,0.5429,0.09000000000000001
3,0.76,0.5429,0.0030000000000000005
3,0.95,0.5429,0.002
3,0.0,0.6643,0.662
3,0.19,0.6643,0.5593333333333333
3,0.38,0.6643,0.32433333333333336
3,0.57,0.6643,0.07233333333333332
3,0.76,0.6643,0.0033333333333333335
3,0.95,0.6643,0.002
3,0.0,0.7857,0.6336666666666667
3,0.19,0.7857,0.533
3,0.38,0.7857,0.2826666666666667
3,0.57,0.7857,0.054
3,0.76,0.7857,0.002
3,0.95,0.7857,0.0026666666666666666
3,0.0,0.9071,0.5946666666666666
3,0.19,0.9071,0.48933333333333334
3,0.38,0.9071,0.24866666666666667
3,0.57,0.9071,0.04066666666666666
3,0.76,0.9071,0.002
3,0.95,0.9071,0.002
3,0.0,1.0286,0.5486666666666667
3,0.19,1.0286,0.44966666666666666
3,0.38,1.0286,0.20766666666666667
3,0.57,1.0286,0.03133333333333333
3,0.76,1.0286,0.001
3,0.95,1.0286,0.002
3,0.0,1.15,0.4706666666666666
3,0.19,1.15,0.3906666666666667
3,0.38,1.15,0.18233333333333332
3,0.57,1.15,0.023999999999999997
3,0.76,1.15,0.001
3,0.95,1.15,0.002
3,0.0,1.2714,0.4093333333333333
3,0.19,1.2714,0.32833333333333337
3,0.38,1.2714,0.15466666666666665
3,0.57,1.2714,0.017
3,0.76,1.2714,0.001
3,0.95,1.2714,0.002
3,0.0,1.3929,0.3356666666666667
3,0.19,1.3929,0.27233333333333337
3,0.38,1.3929,0.12533333333333332
3,0.57,1.3929,0.015333333333333332
3,0.76,1.3929,0.001
3,0.95,1.3929,0.002
3,0.0,1.5143,0.254
3,0.19,1.5143,0.217
3,0.38,1.5143,0.09433333333333334
3,0.57,1.5143,0.010666666666666666
3,0.76,1.5143,0.001
3,0.95,1.5143,0.002
3,0.0,1.6357,0.18833333333333332
3,0.19,1.6357,0.15
3,0.38,1.6357,0.081
3,0.57,1.6357,0.008
3,0.76,1.6357,0.0013333333333333333
3,0.95,1.6357,0.0016666666666666668
3,0.0,1.7571,0.13433333333333333
3,0.19,1.7571,0.10533333333333333
3,0.38,1.7571,0.06233333333333333
3,0.57,1.7571,0.005
3,0.76,1.7571,0.002
3,0.95,1.7571,0.001
3,0.0,1.8786,0.09900000000000002
3,0.19,1.8786,0.068
3,0.38,1.8786,0.050666666666666665
3,0.57,1.8786,0.004666666666666667
3,0.76,1.8786,0.0030000000000000005
3,0.95,1.8786,0.0013333333333333333
3,0.0,2.0,0.06333333333333334
3,0.19,2.0,0.04733333333333334
3,0.38,2.0,0.041
3,0.57,2.0,0.0036666666666666666
3,0.76,2.0,0.0026666666666666666
3,0.95,2.0,0.0013333333333333333
4,0.0,0.0,0.703
4,0.19,0.0,0.659
4,0.38,0.0,0.532
4,0.57,0.0,0.254
4,0.76,0.0,0.017
4,0.95,0.0,0.003
4,0.0,0.3,0.7006666666666667
4,0.19,0.3,0.638
4,0.38,0.3,0.48900000000000005
4,0.57,0.3,0.18366666666666664
4,0.76,0.3,0.010333333333333333
4,0.95,0.3,0.002
4,0.0,0.4214,0.6933333333333334
4,0.19,0.4214,0.6216666666666667
4,0.38,0.4214,0.4673333333333334
4,0.57,0.4214,0.16633333333333333
4,0.76,0.4214,0.009000000000000001
4,0.95,0.4214,0.002
4,0.0,0.5429,0.6856666666666668
4,0.19,0.5429,0.6203333333333333
4,0.38,0.5429,0.4403333333333333
4,0.57,0.5429,0.155
4,0.76,0.5429,0.007333333333333333
4,0.95,0.5429,0.0030000000000000005
4,0.0,0.6643,0.6773333333333333
4,0.19,0.6643,0.5983333333333333
4,0.38,0.6643,0.4106666666666667
